Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sun Nov 24 20:15:28 2024


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

51C0050        0.1630 %
MB0458         0.3182 %
TV0185         0.1363 %
TV0291         0.2310 %
TV0293         0.4399 %
TV0301         0.0522 %
TV0320         0.1101 %
TV1239         0.0876 %
TV1288         0.1666 %
TV2033         0.1003 %
TV2062         0.4232 %
TV2078         0.0836 %
TV2266         1.0000 %
TV2282         0.1111 %
TV2502         0.0811 %
TV2795         0.0666 %
TV3008         0.1538 %
TV3017         0.2301 %
TV3050         0.5077 %
TV3055         0.4882 %
TV3228         0.2585 %
TV3234         0.5036 %
TV4006         0.5633 %
TV4256         0.1182 %
TV4261         0.4165 %
TV4272         0.4870 %
TV4308         0.3470 %
TV4528         0.3567 %
TV4530         0.0940 %
TV4536         0.2385 %
TV4753         0.6138 %
TV5029         0.1204 %
TV5032         0.3672 %
TV5045         0.3016 %
TV5056         0.2802 %
TV5059         0.4673 %
TV5071         0.0581 %
TV5075         0.3180 %
TV5119         0.0839 %
TV5139         0.0574 %
TV5218         0.5878 %
TV5227         0.0689 %
TV5230         0.1127 %
TV5304         0.2331 %
TV6308         0.0709 %
TV6900         0.4820 %
TVE0036        0.1064 %

TOTAL: 47

*** Locus 2 ***

HS0123         0.0671 %
MB0002         0.2991 %
MB0008         0.3876 %
MB0009         0.4817 %
MB0010         0.4144 %
MB0011         0.5158 %
MB0450         0.2949 %
TV0195         0.4814 %
TV0198         0.3921 %
TV0229         0.0645 %
TV0241         0.0793 %
TV0258         0.1354 %
TV0259         0.2376 %
TV0441         0.2455 %
TV0538         0.1056 %
TV1028         0.0616 %
TV1036         0.1044 %
TV1222         0.0550 %
TV1258         0.1103 %
TV1408         0.0609 %
TV1414         0.0501 %
TV2031         0.0725 %
TV2053         0.0831 %
TV2530         0.0544 %
TV4254         0.4939 %
TV4284         0.3516 %
TV4286         0.6351 %
TV4287         0.3558 %
TV4291         0.2227 %
TV4295         1.0000 %
TV4304         0.1128 %
TV4501         0.0697 %
TV4525         0.0977 %
TV4546         0.7713 %
TV4547         0.1186 %
TV4754         0.8213 %
TV4796         0.1474 %
TV4835         0.2564 %
TV5056         0.1039 %
TV5063         0.1541 %
TV5138         0.4531 %
TV5188         0.0755 %
TV5228         0.0505 %
TV5295         0.0592 %
TV6310         0.4825 %
TV6316         0.5175 %

TOTAL: 46

*** Locus 3 ***

51C0068        0.1223 %
MB0403         0.3009 %
MB0452         0.3036 %
MR0045         0.0504 %
TV0176         0.4348 %
TV0177         0.4148 %
TV0244         0.1753 %
TV0263         0.1479 %
TV0284         0.1712 %
TV0285         0.1720 %
TV0299         0.0550 %
TV0301         0.0544 %
TV2071         0.0662 %
TV2266         1.0000 %
TV3001         0.0564 %
TV3017         0.2169 %
TV3056         0.3507 %
TV3211         0.4709 %
TV3212         0.0840 %
TV3213         0.4679 %
TV4001         0.3438 %
TV4004         0.7876 %
TV4007         0.4644 %
TV4010         0.9223 %
TV4255         0.3275 %
TV4259         0.3937 %
TV4265         0.1150 %
TV4272         0.1919 %
TV4273         0.0907 %
TV4284         0.1168 %
TV4286         0.1000 %
TV4301         0.1426 %
TV4302         0.0531 %
TV4305         0.1531 %
TV4316         0.8984 %
TV4505         0.0534 %
TV4512         0.7356 %
TV4513         0.1613 %
TV4514         0.2266 %
TV4516         0.1603 %
TV4517         0.0804 %
TV4524         0.8693 %
TV4558         0.5583 %
TV4566         0.0937 %
TV4754         0.9039 %
TV4755         0.6919 %
TV4773         0.1048 %
TV4798         0.2490 %
TV4827         0.1689 %
TV5081         0.3053 %
TV5125         0.1261 %
TV5128         0.1112 %
TV5132         0.2368 %
TV5143         0.1662 %
TV5168         0.0824 %
TV5247         0.1317 %
TV5252         0.4825 %
TV5254         0.4797 %
TV5257         0.4505 %
