Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Nov 23 15:51:53 2024


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

51C0050        0.1440 %
MB0458         0.3155 %
TV0185         0.1349 %
TV0291         0.2168 %
TV0293         0.4242 %
TV1186         0.0599 %
TV1239         0.0923 %
TV1288         0.1777 %
TV2033         0.1014 %
TV2062         0.4224 %
TV2078         0.0773 %
TV2266         1.0000 %
TV2282         0.1165 %
TV2502         0.0821 %
TV2795         0.1167 %
TV3008         0.1945 %
TV3017         0.2043 %
TV3050         0.4863 %
TV3055         0.5067 %
TV3228         0.2707 %
TV3234         0.4974 %
TV4006         0.5864 %
TV4256         0.1066 %
TV4261         0.2855 %
TV4272         0.6096 %
TV4286         0.0939 %
TV4308         0.3363 %
TV4528         0.3715 %
TV4530         0.1214 %
TV4536         0.2226 %
TV4753         0.5997 %
TV5029         0.1351 %
TV5032         0.3827 %
TV5045         0.3062 %
TV5056         0.2681 %
TV5059         0.4786 %
TV5071         0.0595 %
TV5075         0.3348 %
TV5119         0.0865 %
TV5139         0.0826 %
TV5218         0.5616 %
TV5230         0.1114 %
TV5304         0.2359 %
TV6308         0.0829 %
TV6900         0.4808 %
TVE0036        0.1231 %

TOTAL: 46

*** Locus 2 ***

HS0123         0.0728 %
MB0002         0.3149 %
MB0008         0.4106 %
MB0009         0.5029 %
MB0010         0.3832 %
MB0011         0.4969 %
MB0450         0.2936 %
TV0008         0.5285 %
TV0195         0.4374 %
TV0198         0.4147 %
TV0229         0.0529 %
TV0241         0.0665 %
TV0258         0.1639 %
TV0259         0.2127 %
TV0441         0.2524 %
TV0538         0.1099 %
TV1028         0.0614 %
TV1036         0.1083 %
TV1216         0.0537 %
TV1222         0.0579 %
TV1258         0.1009 %
TV1345         0.0502 %
TV1408         0.0640 %
TV1414         0.0537 %
TV2031         0.0721 %
TV2053         0.0716 %
TV2065         0.0515 %
TV2530         0.0601 %
TV4254         0.4791 %
TV4284         0.3550 %
TV4286         0.6160 %
TV4287         0.3750 %
TV4291         0.2173 %
TV4295         1.0000 %
TV4304         0.1053 %
TV4501         0.0666 %
TV4525         0.0841 %
TV4546         0.7939 %
TV4547         0.1302 %
TV4754         0.8319 %
TV4796         0.5290 %
TV4835         0.2766 %
TV5056         0.1032 %
TV5063         0.1486 %
TV5138         0.4739 %
TV5188         0.0726 %
TV5295         0.0549 %
TV6310         0.5119 %
TV6316         0.4881 %

TOTAL: 49

*** Locus 3 ***

51C0068        0.1265 %
MB0403         0.3020 %
MB0452         0.3140 %
MR0045         0.0556 %
TV0176         0.4225 %
TV0177         0.4239 %
TV0244         0.2264 %
TV0263         0.1209 %
TV0284         0.1628 %
TV0285         0.1565 %
TV2071         0.0564 %
TV2266         1.0000 %
TV3001         0.0609 %
TV3017         0.1950 %
TV3056         0.3798 %
TV3211         0.4467 %
TV3212         0.0882 %
TV3213         0.4912 %
TV4001         0.2623 %
TV4004         0.7716 %
TV4007         0.4411 %
TV4010         0.9205 %
TV4255         0.3133 %
TV4259         0.4151 %
TV4265         0.2379 %
TV4272         0.2072 %
TV4273         0.1012 %
TV4284         0.1020 %
TV4286         0.0806 %
TV4301         0.1552 %
TV4302         0.0522 %
TV4305         0.1525 %
TV4316         0.8977 %
TV4505         0.0517 %
TV4512         0.7239 %
TV4513         0.1620 %
TV4514         0.2432 %
TV4516         0.1706 %
TV4517         0.0945 %
TV4524         0.8536 %
TV4558         0.5457 %
TV4566         0.0952 %
TV4754         0.9075 %
TV4755         0.7644 %
TV4773         0.1277 %
TV4798         0.2330 %
TV4827         0.1727 %
TV5081         0.3240 %
TV5125         0.1256 %
TV5128         0.1047 %
TV5132         0.2407 %
TV5143         0.1463 %
TV5168         0.0986 %
TV5247         0.1372 %
TV5252         0.4832 %
TV5254         0.4756 %
TV5257         0.4604 %
TV5274         0.0648 %
TV5280         0.1121 %
TV5303         0.1269 %
TV6609         0.4884 %
TV6614         0.0506 %

TOTAL: 62

*** Locus 4 ***

51C0059        0.3093 %
51C0063        0.3385 %
TV0190         0.5631 %
TV0196         0.4127 %
TV0459         0.1533 %
TV0899         0.1560 %
TV0971         0.3327 %
TV0983         0.3619 %
TV1196         0.2463 %
TV1321         0.4681 %
TV1345         0.5516 %
TV2078         0.0773 %
TV2290         0.0818 %
TV3056         0.3701 %
TV3201         0.1436 %
TV4251         0.0730 %
TV4255         0.3743 %
TV4267         0.2371 %
TV4282         0.1712 %
TV4319         0.1133 %
TV4553         0.3116 %
TV4554         0.3167 %
TV4556         0.4184 %
TV4558         0.1572 %
TV4757         0.3768 %
TV4758         0.4677 %
TV4796         0.1345 %
TV4813         0.2488 %
TV4817         0.1606 %
TV4835         0.2766 %
TV5019         0.2173 %
TV5024         0.1939 %
TV5113         0.2445 %
TV5119         0.0865 %
TV5201         0.2647 %
TV5216         0.1272 %
TV5217         0.3319 %
TV5227         0.0690 %
TV5228         0.4828 %
TV5244         0.1109 %
TV5308         0.1893 %
TV6308         0.0829 %
TV6609         0.1241 %
TV6610         0.1708 %

TOTAL: 44

*** Locus 5 ***

51C0065        0.1936 %
HS0167         0.1128 %
MB0003         0.2478 %
MB0106         0.1357 %
MB0112         0.2727 %
MB0115         0.2589 %
MR0057         0.0694 %
TV0203         0.0531 %
TV0241         0.1542 %
