Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr  1 14:43:04 2025


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

51C0050        0.1129 %
MB0458         0.2391 %
TV0185         0.0972 %
TV0291         0.1940 %
TV0293         0.3551 %
TV1239         0.0542 %
TV1288         0.1096 %
TV2033         0.0631 %
TV2062         0.4044 %
TV2282         0.0599 %
TV3008         0.1240 %
TV3017         0.2146 %
TV3050         0.4944 %
TV3055         0.4823 %
TV3228         0.2010 %
TV3234         0.4769 %
TV4006         0.3593 %
TV4256         0.1118 %
TV4261         0.3388 %
TV4272         0.5261 %
TV4308         0.2750 %
TV4528         0.2838 %
TV4530         0.0671 %
TV4536         0.1664 %
TV4753         0.5820 %
TV5029         0.0865 %
TV5032         0.2721 %
TV5045         0.2120 %
TV5056         0.2168 %
TV5059         0.4790 %
TV5075         0.2357 %
TV5119         0.0523 %
TV5218         0.4639 %
TV5230         0.0714 %
TV5304         0.1617 %
TV6900         0.4273 %
TVE0036        0.0746 %

TOTAL: 37

*** Locus 2 ***

MB0002         0.2315 %
MB0008         0.3389 %
MB0009         0.4925 %
MB0010         0.3434 %
MB0011         0.5024 %
MB0450         0.2222 %
TV0195         0.3816 %
TV0198         0.3553 %
TV0258         0.1089 %
TV0259         0.1661 %
TV0441         0.1264 %
TV0538         0.0693 %
TV1036         0.0649 %
TV1258         0.0676 %
TV4254         0.4547 %
TV4284         0.2671 %
TV4286         0.6182 %
TV4287         0.3712 %
TV4304         0.0898 %
TV4525         0.0550 %
TV4546         0.7463 %
TV4754         0.6371 %
TV4796         0.1039 %
TV4835         0.1645 %
TV5056         0.0747 %
TV5063         0.0968 %
TV5138         0.4538 %
TV6310         0.4990 %
TV6316         0.5010 %

TOTAL: 29

*** Locus 3 ***

51C0068        0.0748 %
MB0403         0.2289 %
MB0452         0.2289 %
TV0176         0.3666 %
TV0177         0.3757 %
TV0244         0.1476 %
TV0263         0.0819 %
TV0284         0.1068 %
TV0285         0.1101 %
TV3017         0.1373 %
TV3056         0.2126 %
TV3211         0.4454 %
TV3212         0.0534 %
TV3213         0.4504 %
TV4001         0.4610 %
TV4004         0.6595 %
TV4007         0.3084 %
TV4010         0.7725 %
TV4255         0.2870 %
TV4259         0.2840 %
TV4265         0.1277 %
TV4272         0.1569 %
TV4273         0.0696 %
TV4284         0.0880 %
TV4286         0.0666 %
TV4301         0.0996 %
TV4305         0.0990 %
TV4316         0.8465 %
TV4512         0.6007 %
TV4513         0.1197 %
TV4514         0.1534 %
TV4516         0.1021 %
TV4517         0.0520 %
TV4524         0.6972 %
TV4558         0.5514 %
TV4566         0.0580 %
TV4754         0.7516 %
TV4755         0.5962 %
TV4773         0.0765 %
TV4798         0.1622 %
TV4827         0.0897 %
TV5081         0.1933 %
TV5125         0.0799 %
TV5128         0.0672 %
TV5132         0.1472 %
TV5143         0.1096 %
TV5168         0.0579 %
TV5247         0.0823 %
TV5252         0.4671 %
TV5254         0.4551 %
TV5257         0.4297 %
TV5280         0.0714 %
TV5303         0.0563 %
TV6609         0.2842 %

TOTAL: 54

*** Locus 4 ***

51C0059        0.2630 %
51C0063        0.2685 %
TV0190         0.5220 %
TV0196         0.4370 %
TV0459         0.1012 %
TV0899         0.0904 %
TV0971         0.2741 %
TV0983         0.2810 %
TV1196         0.1704 %
TV1321         0.4858 %
TV1345         0.5159 %
TV2290         0.0510 %
TV3056         0.2054 %
TV3201         0.0937 %
TV4255         0.3062 %
TV4267         0.1214 %
TV4282         0.1221 %
TV4319         0.0676 %
TV4553         0.2435 %
TV4554         0.2436 %
TV4556         0.3467 %
TV4558         0.1439 %
TV4757         0.3537 %
TV4758         0.3989 %
TV4796         0.1033 %
TV4813         0.1646 %
TV4817         0.1085 %
TV4835         0.1645 %
TV5019         0.1406 %
TV5024         0.1360 %
TV5113         0.1842 %
TV5119         0.0523 %
TV5201         0.1963 %
TV5216         0.0828 %
TV5217         0.3161 %
TV5227         0.0501 %
TV5228         0.3795 %
TV5244         0.0643 %
TV5308         0.1106 %
TV6609         0.0948 %
TV6610         0.1616 %

TOTAL: 41

*** Locus 5 ***

51C0065        0.1299 %
HS0167         0.0826 %
MB0003         0.1615 %
MB0106         0.1016 %
MB0112         0.2072 %
MB0115         0.1968 %
TV0242         0.1303 %
TV0245         0.6289 %
TV1263         0.0519 %
TV2033         0.0631 %
TV2501         0.0570 %
TV3011         0.1041 %
TV3031         0.0536 %
TV3202         0.1974 %
TV3209         0.1083 %
TV3218         0.0535 %
TV3231         0.0585 %
TV4287         0.1033 %
TV4291         0.0532 %
TV4299         0.3044 %
TV4312         0.4340 %
TV4517         0.4453 %
TV4789         0.4825 %
TV5084         0.1288 %
TV5124         0.4747 %
TV5177         0.1085 %
TV5241         0.4170 %
TV5259         0.0614 %
TV5280         0.0508 %
TV6301         0.0772 %

TOTAL: 30

*** Locus 6 ***

TV0006         0.6819 %
TV0019         0.2470 %
TV0194         0.1812 %
TV0196         0.0928 %
TV0234         0.0775 %
TV0244         0.2647 %
TV0245         0.6377 %
TV0952         0.5097 %
TV2004         0.1798 %
TV2005         0.2183 %
TV2527         0.0843 %
TV4262         0.0918 %
TV4536         0.1664 %
TV4553         0.2435 %
TV4554         0.2430 %
TV4562         0.0795 %
TV4764         0.8626 %
TV4774         0.4889 %
TV4796         0.3252 %
TV5028         0.2359 %
TV5029         0.2079 %
TV5032         0.0888 %
TV5235         0.6825 %
TV5249         0.2162 %
TV5251         0.0969 %
TV5257         0.2997 %
TV5304         0.1618 %
TV5311         0.1647 %
TV6310         0.4990 %
TV6316         0.5010 %
TV6612         0.4311 %

TOTAL: 31

*** Locus 7 ***

MB0020         0.1690 %
MB0024         0.4651 %
TV0007         0.3185 %
TV0008         0.0820 %
TV0240         0.1849 %
TV4516         0.0990 %
TV4517         0.0520 %
TV4518         0.1691 %
TV5172         0.1095 %
TV5175         0.1066 %
TV5262         0.0529 %
TV5305         0.3163 %
TV5306         0.1580 %
TV6601         0.9247 %

TOTAL: 14

*** Locus 8 ***

51C0054        0.4061 %
51C0060        0.1615 %
51C0116        0.1603 %
MB0102         0.3788 %
MB0106         0.3268 %
TV0003         0.8626 %
TV0019         0.1023 %
TV0208         0.5635 %
TV0959         0.0940 %
TV2299         0.3941 %
TV3010         0.2112 %
TV3017         0.1283 %
TV3244         0.0611 %
TV4284         0.3580 %
TV4316         0.9106 %
TV4524         0.7629 %
TV5249         0.2310 %
TV5251         0.1357 %
TV5280         0.0721 %
TVS0204        0.2625 %
TVS0205        0.2638 %

TOTAL: 21

*** Locus 9 ***

MB0004         0.6992 %
MB0116         0.3369 %
MB0453         0.1020 %
TV0187         0.4043 %
TV0216         0.5335 %
TV0228         0.4037 %
TV0275         0.0858 %
TV0399         0.4053 %
TV0930         0.2630 %
TV0980         0.0821 %
TV1092         0.0943 %
TV1227         0.0826 %
TV1283         0.0849 %
TV1408         0.4245 %
TV2026         0.0533 %
TV2055         0.0524 %
TV2285         0.0541 %
TV3212         0.1757 %
TV3226         0.1076 %
TV4261         0.1272 %
TV4265         0.1956 %
TV4278         0.5019 %
TV4284         0.2970 %
TV4287         0.2350 %
TV4293         0.0576 %
TV4302         0.0700 %
TV4502         0.0631 %
TV4533         0.0597 %
TV4546         0.0628 %
TV4567         0.1428 %
TV4757         0.1287 %
TV4760         0.0844 %
TV4769         0.5348 %
TV4774         0.0978 %
TV4797         0.0618 %
TV4802         0.1671 %
TV5117         0.0694 %
TV5128         0.0703 %
TV5207         0.2621 %
TV5217         0.0861 %
TV5220         0.1375 %
TV5236         0.0709 %
TV5248         0.1012 %
TV5251         0.4482 %
TV5255         0.5125 %
TV6608         0.1528 %
TV6609         0.0868 %
TVS0020        0.0652 %
TVS0050        0.0640 %

TOTAL: 49

*** Locus 10 ***

HS0005         0.0605 %
MB0101         0.3040 %
MB0120         0.3960 %
MB0121         0.3935 %
MR0022         0.0633 %
TV0204         0.3114 %
TV0228         0.0680 %
TV0239         0.6676 %
TV0279         0.0709 %
TV0293         0.0766 %
TV0341         0.0638 %
TV0691         0.2055 %
TV0946         0.2065 %
TV1263         0.0568 %
TV1333         0.1951 %
TV1419         0.1032 %
TV3222         0.2594 %
TV3223         0.2594 %
TV4252         0.0889 %
TV4272         0.0880 %
TV4292         0.1178 %
TV4567         0.0692 %
TV4789         0.1272 %
TV4791         0.2825 %
TV4823         0.6667 %
TV5117         0.1518 %
TV5119         0.1496 %
TV5120         0.1040 %
TV5154         0.2134 %
TV5227         0.0760 %
TV5246         0.2899 %
TV5310         0.2841 %
TV6107         0.1032 %
TVS0020        0.4628 %
TVS0050        0.4625 %

TOTAL: 35

